epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,17392.1,0.33559,0.48136,0.99789,0.6421,0.29551,0.36021,0.14073,2.1759,2.95842,3.33236,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225
31,17942,0.33508,0.47712,1.00391,0.50715,0.33386,0.29451,0.13766,2.17228,2.93827,3.29137,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
32,18485,0.33249,0.45485,0.99136,0.3534,0.64881,0.47204,0.18499,2.21987,2.90977,3.45758,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275
33,19034.4,0.34034,0.46939,0.99913,0.52406,0.3883,0.45816,0.1848,2.0908,3.07683,3.13955,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458
34,19578.2,0.32928,0.46071,0.99492,0.60671,0.39379,0.45522,0.19835,2.14296,2.91271,3.50914,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325
35,20128.3,0.32957,0.46384,0.99418,0.27476,0.44742,0.34477,0.15664,2.11765,2.90389,3.32276,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085
36,20672.8,0.31965,0.44598,0.98606,0.50248,0.34401,0.30795,0.13693,2.04825,2.99891,3.27227,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
37,21221.8,0.31843,0.45407,0.99303,0.59286,0.39881,0.35094,0.14174,2.17233,2.89831,3.40296,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359
38,21766.5,0.31581,0.43463,0.98805,0.69871,0.51683,0.44902,0.16668,2.10538,2.87159,3.3397,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425
39,22316.4,0.30814,0.4435,0.9853,0.38914,0.6267,0.53803,0.17072,2.17928,2.90277,3.28326,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095
