epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,29052.3,0.42565,0.59017,1.00241,0.59166,0.4342,0.44044,0.22731,1.27435,2.47866,1.63174,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064
31,29950.5,0.43143,0.5909,1.00957,0.498,0.38066,0.38524,0.22155,1.27122,2.49664,1.67382,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
32,30861.2,0.42831,0.58324,1.00441,0.42762,0.36898,0.36173,0.22285,1.29896,2.46929,1.64105,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068
33,31768,0.42033,0.58697,1.0054,0.55079,0.4215,0.40069,0.23014,1.29809,2.37564,1.63721,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707
34,32680.5,0.4319,0.5965,1.00804,0.41867,0.45186,0.36643,0.22964,1.27417,2.45587,1.60799,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073
35,33610.6,0.41997,0.5797,1.0021,0.45975,0.51427,0.43826,0.23437,1.27229,2.44069,1.59621,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075
36,34522.5,0.41553,0.56941,1.00211,0.61281,0.43146,0.40888,0.22186,1.32359,2.40539,1.64314,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077
37,35432.8,0.41645,0.57432,0.99686,0.46348,0.47691,0.42113,0.21749,1.28102,2.47595,1.62266,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079
38,36356.6,0.41425,0.5758,0.99963,0.45284,0.52108,0.43427,0.2281,1.31081,2.40814,1.64651,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081
39,37302.8,0.41265,0.5488,0.99839,0.49518,0.47204,0.44965,0.21648,1.37671,2.43284,1.70754,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084
40,38251.9,0.40168,0.56063,0.99195,0.55818,0.4635,0.46559,0.23263,1.36427,2.44313,1.73505,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086
