epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6742,1.86525,3.88331,2.26455,0.0028,0.83333,0.55214,0.13413,2.60217,5.2532,4.00984,0.0002,0.0002,0.0002
2,60.0621,1.76083,3.57705,2.14512,0.00366,1,0.52753,0.2834,2.44407,5.0789,3.55244,0.000398887,0.000398887,0.000398887
3,89.429,1.62286,3.41503,2.02646,0.00398,1,0.12716,0.04902,2.61958,4.86014,3.1426,0.00058375,0.00058375,0.00058375
4,119.104,1.67827,3.17738,2.05249,0.00402,1,0.24106,0.05166,2.70232,4.54191,3.24294,0.000754588,0.000754588,0.000754588
5,148.105,1.62718,3.16719,2.03446,0.00411,1,0.44222,0.11217,2.02355,4.23612,2.69977,0.0009114,0.0009114,0.0009114
6,176.877,1.58112,2.92262,1.97395,0.81885,0.16667,0.21766,0.05209,2.10197,5.51768,2.68715,0.00104375,0.00104375,0.00104375
7,206.096,1.44012,2.94361,1.90371,1,0.31078,0.39856,0.11974,2.22441,3.94051,2.76395,0.0010025,0.0010025,0.0010025
8,235.103,1.55921,2.883,1.93899,0.00622,1,0.39849,0.09454,2.672,5.26921,3.28423,0.00096125,0.00096125,0.00096125
9,263.825,1.50356,2.67944,1.89543,0.48163,0.33333,0.4975,0.16031,2.77166,7.25621,3.4679,0.00092,0.00092,0.00092
10,292.986,1.40752,2.58521,1.83276,0.62253,0.66667,0.46738,0.15903,2.50452,4.79568,3.18817,0.00087875,0.00087875,0.00087875
11,322.033,1.53397,2.6395,1.92239,0.50152,0.66667,0.40116,0.12295,2.61908,4.77138,3.19713,0.0008375,0.0008375,0.0008375
12,350.853,1.4192,2.50121,1.7746,0.43239,0.42656,0.28692,0.07616,2.43185,4.8687,3.31357,0.00079625,0.00079625,0.00079625
