epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1261.02,1.27596,4.22727,1.58369,0.07981,0.02319,0.04172,0.03737,1.09773,4.65489,1.4915,0.000366105,0.000122035,0.000366105,0.000122035,0.000366105,0.000122035,0.000366105,0.000122035
2,2337.1,0.96803,4.0377,1.36729,0.02308,0.55383,0.04095,0.02586,1.07302,4.56879,1.46574,0.00072153,0.00024051,0.00072153,0.00024051,0.00072153,0.00024051,0.00072153,0.00024051
3,3331.6,0.84214,3.56475,1.27662,0.02358,0.46654,0.05108,0.03291,1.03539,4.45985,1.45666,0.0010623,0.000354101,0.0010623,0.000354101,0.0010623,0.000354101,0.0010623,0.000354101
4,4227.83,0.85369,2.79109,1.27539,0.02262,0.37949,0.05464,0.03677,1.06058,4.34574,1.46548,0.00104407,0.000348022,0.00104407,0.000348022,0.00104407,0.000348022,0.00104407,0.000348022
5,5118.61,0.76114,2.11274,1.23207,0.59012,0.0906,0.07107,0.0473,1.10739,4.02318,1.49178,0.00102209,0.000340696,0.00102209,0.000340696,0.00102209,0.000340696,0.00102209,0.000340696
6,6016.53,0.74009,1.83654,1.21963,0.5068,0.0964,0.0813,0.05478,1.16397,3.5585,1.54328,0.00100011,0.00033337,0.00100011,0.00033337,0.00100011,0.00033337,0.00100011,0.00033337
7,6895.12,0.69834,1.66027,1.206,0.57272,0.11597,0.10277,0.0687,1.15607,3.29772,1.55294,0.000978132,0.000326044,0.000978132,0.000326044,0.000978132,0.000326044,0.000978132,0.000326044
8,8163.94,0.66369,1.52519,1.18096,0.52675,0.14361,0.11703,0.07832,1.11732,3.15689,1.49776,0.000956154,0.000318718,0.000956154,0.000318718,0.000956154,0.000318718,0.000956154,0.000318718
9,9089.42,0.67143,1.44486,1.18365,0.73478,0.12129,0.13916,0.09329,1.1039,3.06854,1.49924,0.000934176,0.000311392,0.000934176,0.000311392,0.000934176,0.000311392,0.000934176,0.000311392
10,9971.14,0.64538,1.38445,1.16789,0.61589,0.17342,0.14922,0.10279,1.10951,2.98364,1.50388,0.000912198,0.000304066,0.000912198,0.000304066,0.000912198,0.000304066,0.000912198,0.000304066
11,10935.5,0.63059,1.31397,1.15149,0.6923,0.18024,0.15995,0.1132,1.1122,2.92993,1.49979,0.00089022,0.00029674,0.00089022,0.00029674,0.00089022,0.00029674,0.00089022,0.00029674
12,11716.9,0.61823,1.26951,1.14774,0.50392,0.23274,0.17373,0.12026,1.12558,2.85603,1.51094,0.000868242,0.000289414,0.000868242,0.000289414,0.000868242,0.000289414,0.000868242,0.000289414
13,12492.9,0.62434,1.23081,1.14214,0.58149,0.19627,0.17612,0.12203,1.15856,2.88084,1.52566,0.000846264,0.000282088,0.000846264,0.000282088,0.000846264,0.000282088,0.000846264,0.000282088
14,13266.7,0.63258,1.2356,1.15743,0.61609,0.21386,0.19592,0.13145,1.13058,2.8845,1.51166,0.000824286,0.000274762,0.000824286,0.000274762,0.000824286,0.000274762,0.000824286,0.000274762
15,14032.1,0.61205,1.18213,1.13606,0.54724,0.25227,0.19958,0.13729,1.15396,2.79682,1.51718,0.000802308,0.000267436,0.000802308,0.000267436,0.000802308,0.000267436,0.000802308,0.000267436
16,14802.6,0.61008,1.15014,1.14033,0.66175,0.24706,0.21251,0.14215,1.13635,2.83035,1.50157,0.00078033,0.00026011,0.00078033,0.00026011,0.00078033,0.00026011,0.00078033,0.00026011
17,15572.6,0.59948,1.10742,1.1241,0.62971,0.27213,0.21225,0.14032,1.13797,2.74598,1.51081,0.000758352,0.000252784,0.000758352,0.000252784,0.000758352,0.000252784,0.000758352,0.000252784
18,16338.6,0.60019,1.12384,1.12969,0.6193,0.25483,0.20925,0.14117,1.13506,2.7461,1.50273,0.000736374,0.000245458,0.000736374,0.000245458,0.000736374,0.000245458,0.000736374,0.000245458
19,17101.1,0.57234,1.08102,1.11521,0.59311,0.24573,0.20473,0.14353,1.12706,2.74807,1.50638,0.000714396,0.000238132,0.000714396,0.000238132,0.000714396,0.000238132,0.000714396,0.000238132
20,17870.8,0.58067,1.0618,1.11459,0.54549,0.31316,0.21305,0.14624,1.13668,2.69822,1.48709,0.000692418,0.000230806,0.000692418,0.000230806,0.000692418,0.000230806,0.000692418,0.000230806
21,18651.5,0.57671,1.04132,1.11147,0.64169,0.24492,0.22607,0.14498,1.14355,2.68717,1.52869,0.00067044,0.00022348,0.00067044,0.00022348,0.00067044,0.00022348,0.00067044,0.00022348
22,19418.8,0.58027,1.03996,1.10785,0.5573,0.31669,0.2194,0.14876,1.14528,2.71109,1.49859,0.000648462,0.000216154,0.000648462,0.000216154,0.000648462,0.000216154,0.000648462,0.000216154
23,20202.7,0.55336,1.01138,1.09199,0.55243,0.37921,0.24259,0.15963,1.12987,2.69317,1.49943,0.000626484,0.000208828,0.000626484,0.000208828,0.000626484,0.000208828,0.000626484,0.000208828
24,20973,0.55866,1.01141,1.0951,0.60758,0.35071,0.24524,0.16549,1.10454,2.74541,1.47541,0.000604506,0.000201502,0.000604506,0.000201502,0.000604506,0.000201502,0.000604506,0.000201502
25,21741.8,0.56312,1.0066,1.09698,0.6056,0.35871,0.24655,0.16297,1.12612,2.70348,1.5045,0.000582528,0.000194176,0.000582528,0.000194176,0.000582528,0.000194176,0.000582528,0.000194176
26,22511.3,0.55504,0.98752,1.0933,0.632,0.35511,0.25327,0.16197,1.134,2.67638,1.49934,0.00056055,0.00018685,0.00056055,0.00018685,0.00056055,0.00018685,0.00056055,0.00018685
27,23274.7,0.54484,0.95336,1.07663,0.64343,0.3249,0.25743,0.16677,1.14025,2.66392,1.5122,0.000538572,0.000179524,0.000538572,0.000179524,0.000538572,0.000179524,0.000538572,0.000179524
28,24043.1,0.53765,0.96798,1.09185,0.62933,0.33873,0.25699,0.16376,1.1165,2.69397,1.50183,0.000516594,0.000172198,0.000516594,0.000172198,0.000516594,0.000172198,0.000516594,0.000172198
29,24811,0.54916,0.95553,1.08968,0.63584,0.34409,0.25141,0.16046,1.14275,2.74273,1.50951,0.000494616,0.000164872,0.000494616,0.000164872,0.000494616,0.000164872,0.000494616,0.000164872
30,25579.2,0.5367,0.93799,1.08168,0.61476,0.35434,0.25103,0.16271,1.14771,2.66998,1.52028,0.000472638,0.000157546,0.000472638,0.000157546,0.000472638,0.000157546,0.000472638,0.000157546
31,26340,0.53863,0.93857,1.07866,0.55524,0.35257,0.24704,0.16271,1.12882,2.70106,1.49039,0.00045066,0.00015022,0.00045066,0.00015022,0.00045066,0.00015022,0.00045066,0.00015022
32,27107.9,0.53047,0.94435,1.07935,0.58149,0.38416,0.26439,0.1748,1.13511,2.69952,1.51054,0.000428682,0.000142894,0.000428682,0.000142894,0.000428682,0.000142894,0.000428682,0.000142894
33,27874.8,0.54366,0.93458,1.08977,0.48902,0.42777,0.2664,0.17895,1.1391,2.68996,1.50599,0.000406704,0.000135568,0.000406704,0.000135568,0.000406704,0.000135568,0.000406704,0.000135568
34,28640.7,0.53374,0.90452,1.07941,0.48269,0.38778,0.25878,0.17842,1.1408,2.69789,1.52763,0.000384726,0.000128242,0.000384726,0.000128242,0.000384726,0.000128242,0.000384726,0.000128242
35,29410.8,0.53633,0.91747,1.07732,0.51096,0.4141,0.26722,0.17763,1.12096,2.64518,1.49529,0.000362748,0.000120916,0.000362748,0.000120916,0.000362748,0.000120916,0.000362748,0.000120916
36,30179.3,0.52702,0.92733,1.0737,0.58466,0.38673,0.26516,0.18024,1.1338,2.63228,1.5191,0.00034077,0.00011359,0.00034077,0.00011359,0.00034077,0.00011359,0.00034077,0.00011359
37,30946.4,0.52035,0.89794,1.06902,0.49307,0.41419,0.25419,0.17011,1.13179,2.68917,1.50063,0.000318792,0.000106264,0.000318792,0.000106264,0.000318792,0.000106264,0.000318792,0.000106264
38,31723.6,0.51657,0.89563,1.07441,0.57266,0.3902,0.26459,0.18128,1.14539,2.6843,1.51878,0.000296814,9.8938e-05,0.000296814,9.8938e-05,0.000296814,9.8938e-05,0.000296814,9.8938e-05
39,32486.1,0.52006,0.89064,1.06213,0.6166,0.35576,0.28703,0.19425,1.1343,2.7018,1.50605,0.000274836,9.1612e-05,0.000274836,9.1612e-05,0.000274836,9.1612e-05,0.000274836,9.1612e-05
40,33254.5,0.5152,0.88595,1.06311,0.60284,0.36595,0.28075,0.19643,1.12529,2.67642,1.50273,0.000252858,8.4286e-05,0.000252858,8.4286e-05,0.000252858,8.4286e-05,0.000252858,8.4286e-05
41,34014.4,0.55565,1.20118,1.09315,0.59069,0.36253,0.27925,0.18891,1.12524,2.7673,1.47556,0.00023088,7.696e-05,0.00023088,7.696e-05,0.00023088,7.696e-05,0.00023088,7.696e-05
42,34773.7,0.53125,1.15714,1.0688,0.62599,0.39193,0.28949,0.19431,1.12962,2.72621,1.47763,0.000208902,6.9634e-05,0.000208902,6.9634e-05,0.000208902,6.9634e-05,0.000208902,6.9634e-05
43,35527.4,0.51395,1.12763,1.07099,0.61129,0.37087,0.28079,0.18695,1.12079,2.72507,1.47127,0.000186924,6.2308e-05,0.000186924,6.2308e-05,0.000186924,6.2308e-05,0.000186924,6.2308e-05
